Name,Latitude,Longitude
Bramall Lane/Rowland Road,53.367609712,-1.471396797
Bramall Lane/Rowland Road,53.367905990,-1.471317988
Shoreham Street/Cherry Street,53.368830565,-1.469007116
Shoreham Street/Cherry Street,53.369432976,-1.469044716
Broadfield Road/Saxon Road,53.362209084,-1.473792731
Broadfield Road/Saxon Road,53.362123038,-1.474665333
London Road/Glover Road,53.364423542,-1.472488132
London Road/Queens Road,53.364449644,-1.472292453
Queens Road/Edmund Road,53.366624238,-1.468087761
Queens Road/Charlotte Road,53.369888751,-1.464425047
Charlotte Road/Priestley Street,53.369624154,-1.465555557
Charlotte Road/Queens Road,53.368852612,-1.463881965
East Road/Heeley Bank Road,53.363919234,-1.462200706
Prospect Road/Alexandra Road,53.364036433,-1.468300303
Prospect Road/Richards Road,53.363223050,-1.469332259
Park Grange Road/Park Grange Croft,53.369741317,-1.457648689
Park Grange Road/Park Grange Croft,53.369948251,-1.457691150
City Road/Stafford Road,53.376891817,-1.452717651
City Road/Stafford Road,53.376745181,-1.452103228
City Road/Fitzwalter Road,53.375992742,-1.450714951
City Road/Manor Laithe Road,53.374893602,-1.448218892
City Road/Manor Laithe Road,53.374510746,-1.447066453
City Road/Granville Road,53.373858792,-1.446037772
Attercliffe Road/Windsor Street,53.390960723,-1.441410085
Attercliffe Road/Washford Road,53.390878352,-1.441095392
Attercliffe Road/Worksop Road,53.395116051,-1.430528171
Attercliffe Road/Staniforth Road,53.392280028,-1.435242590
Attercliffe Road/Effingham Road,53.391448403,-1.438065502
Attercliffe Road/Effingham Road,53.391277770,-1.438097822
Effingham Road/Attercliffe Road,53.391114993,-1.437889449
Staniforth Road/Palmer Street,53.390588257,-1.431054712
Staniforth Road/Woodbourn Road,53.390644835,-1.431610315
Woodbourn Road/Stadium Way,53.388897004,-1.434550580
Woodbourn Road/Worthing Road,53.389086751,-1.434758573
Woodbourn Road/Worthing Road,53.387266282,-1.435654733
Woodbourn Road/Jessell Street,53.387921635,-1.435480677
Dovercourt Road/City Road,53.371777953,-1.443148935
Stock Road/Dovercourt Road,53.372448058,-1.440359603
